batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
SL Malinga,88,5.5,88.88888888888889,17,94.38888888888889,2025-04-27
AG Paunikar,49,9.8,84.48275862068965,20,94.28275862068965,2025-04-27
C Madan,15,15.0,78.94736842105263,15,93.94736842105263,2025-04-27
IR Jaggi,76,15.2,78.35051546391753,28,93.55051546391753,2025-04-27
Parvez Rasool,17,8.5,85.0,10,93.5,2025-04-27
CK Langeveldt,8,4.0,88.88888888888889,8,92.88888888888889,2025-04-27
BMAJ Mendis,23,7.666666666666667,85.18518518518519,12,92.85185185185186,2025-04-27
R Sharma,66,4.714285714285714,88.0,14,92.71428571428571,2025-04-27
SS Shaikh,6,6.0,85.71428571428571,6,91.71428571428571,2025-04-27
BA Bhatt,6,6.0,85.71428571428571,6,91.71428571428571,2025-04-27
SB Bangar,49,7.0,84.48275862068965,17,91.48275862068965,2025-04-27
Z Khan,117,8.357142857142858,82.97872340425532,23,91.33586626139818,2025-04-27
CA Ingram,21,10.5,80.76923076923077,13,91.26923076923077,2025-04-27
WD Parnell,63,7.0,84.0,16,91.0,2025-04-27
